implementation,run,corr_within,corr_between,amari_within,amari_between
Fortran,0,0.6164,0.6274,0.1870,0.1764
Fortran,1,0.6292,0.6568,0.1791,0.1621
Fortran,2,0.6465,0.6396,0.1697,0.1680
Fortran,3,0.6593,0.6740,0.1642,0.1548
Fortran,4,0.6323,0.6522,0.1783,0.1637
Fortran,5,0.6692,0.6773,0.1589,0.1502
Fortran,6,0.6660,0.6808,0.1640,0.1530
Fortran,7,0.6341,0.6400,0.1779,0.1690
Fortran,8,0.6285,0.6491,0.1775,0.1672
Fortran,9,0.6212,0.6341,0.1832,0.1719
Fortran,10,0.6308,0.6414,0.1786,0.1691
Fortran,11,0.6297,0.6444,0.1733,0.1631
Fortran,12,0.6334,0.6416,0.1783,0.1709
Fortran,13,0.6513,0.6630,0.1698,0.1610
Fortran,14,0.6666,0.6689,0.1583,0.1555
Fortran,15,0.6231,0.6254,0.1841,0.1790
Fortran,16,0.6147,0.6258,0.1904,0.1775
Fortran,17,0.6280,0.6483,0.1739,0.1645
Fortran,18,0.6441,0.6371,0.1698,0.1693
Fortran,19,0.6389,0.6505,0.1726,0.1655
pyAMICA,0,0.6317,0.6149,0.1736,0.1823
pyAMICA,1,0.6935,0.6777,0.1452,0.1525
pyAMICA,2,0.6624,0.6583,0.1577,0.1601
pyAMICA,3,0.6406,0.6459,0.1452,0.1476
pyAMICA,4,0.6493,0.6384,0.1416,0.1478
pyAMICA,5,0.6755,0.6591,0.1566,0.1631
pyAMICA,6,0.6339,0.6236,0.1698,0.1799
pyAMICA,7,0.6809,0.6788,0.1426,0.1471
pyAMICA,8,0.6780,0.6552,0.1527,0.1618
pyAMICA,9,0.6270,0.6206,0.1741,0.1834
pyAMICA,10,0.6855,0.6665,0.1511,0.1626
pyAMICA,11,0.6739,0.6556,0.1506,0.1588
pyAMICA,12,0.6321,0.6190,0.1634,0.1751
pyAMICA,13,0.6639,0.6610,0.1541,0.1591
pyAMICA,14,0.6866,0.6849,0.1480,0.1501
pyAMICA,15,0.6944,0.6672,0.1427,0.1540
pyAMICA,16,0.6576,0.6533,0.1561,0.1619
pyAMICA,17,0.6435,0.6249,0.1635,0.1754
pyAMICA,18,0.6753,0.6547,0.1384,0.1472
pyAMICA,19,0.6302,0.6180,0.1446,0.1531
