 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 iter     1 lrate =  0.0500000000 LL =  -3.5133836371 nd =  0.0572887447, D =   0.41646E-02  0.41646E-02  (  0.02 s,   0.0 h)
 iter     2 lrate =  0.0500000000 LL =  -3.4685486930 nd =  0.0257223607, D =   0.36628E-02  0.36628E-02  (  0.01 s,   0.0 h)
 iter     3 lrate =  0.0500000000 LL =  -3.4616647033 nd =  0.0247885879, D =   0.34760E-02  0.34760E-02  (  0.01 s,   0.0 h)
 iter     4 lrate =  0.0500000000 LL =  -3.4590442780 nd =  0.0270515182, D =   0.52625E-02  0.52625E-02  (  0.01 s,   0.0 h)
 iter     5 lrate =  0.0500000000 LL =  -3.4570952407 nd =  0.0276194201, D =   0.96351E-02  0.96351E-02  (  0.01 s,   0.0 h)
 iter     6 lrate =  0.0500000000 LL =  -3.4554269952 nd =  0.0272263388, D =   0.16431E-01  0.16431E-01  (  0.01 s,   0.0 h)
 iter     7 lrate =  0.0500000000 LL =  -3.4539497202 nd =  0.0263623619, D =   0.25167E-01  0.25167E-01  (  0.01 s,   0.0 h)
 iter     8 lrate =  0.0500000000 LL =  -3.4526182722 nd =  0.0252807003, D =   0.35282E-01  0.35282E-01  (  0.01 s,   0.0 h)
 iter     9 lrate =  0.0500000000 LL =  -3.4514249107 nd =  0.0240182074, D =   0.46240E-01  0.46240E-01  (  0.01 s,   0.0 h)
 iter    10 lrate =  0.0500000000 LL =  -3.4503691075 nd =  0.0225617133, D =   0.57517E-01  0.57517E-01  (  0.01 s,   0.0 h)
 iter    11 lrate =  0.0500000000 LL =  -3.4494541287 nd =  0.0209309116, D =   0.68599E-01  0.68599E-01  (  0.02 s,   0.0 h)
