 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 iter     1 lrate =  0.0500000000 LL =  -3.5123134036 nd =  0.0567896226, D =   0.42088E-02  0.42088E-02  (  0.02 s,   0.0 h)
 iter     2 lrate =  0.0500000000 LL =  -3.4684531489 nd =  0.0257987283, D =   0.36691E-02  0.36691E-02  (  0.01 s,   0.0 h)
 iter     3 lrate =  0.0500000000 LL =  -3.4614424752 nd =  0.0247508221, D =   0.37169E-02  0.37169E-02  (  0.01 s,   0.0 h)
 iter     4 lrate =  0.0500000000 LL =  -3.4587854788 nd =  0.0270734359, D =   0.57709E-02  0.57709E-02  (  0.01 s,   0.0 h)
 iter     5 lrate =  0.0500000000 LL =  -3.4568672555 nd =  0.0275669152, D =   0.10408E-01  0.10408E-01  (  0.01 s,   0.0 h)
 iter     6 lrate =  0.0500000000 LL =  -3.4552227883 nd =  0.0271417542, D =   0.17416E-01  0.17416E-01  (  0.01 s,   0.0 h)
 iter     7 lrate =  0.0500000000 LL =  -3.4537389521 nd =  0.0263393381, D =   0.26305E-01  0.26305E-01  (  0.01 s,   0.0 h)
 iter     8 lrate =  0.0500000000 LL =  -3.4524004677 nd =  0.0252536932, D =   0.36544E-01  0.36544E-01  (  0.01 s,   0.0 h)
 iter     9 lrate =  0.0500000000 LL =  -3.4512040590 nd =  0.0239492115, D =   0.47582E-01  0.47582E-01  (  0.01 s,   0.0 h)
 iter    10 lrate =  0.0500000000 LL =  -3.4501531256 nd =  0.0224201024, D =   0.58875E-01  0.58875E-01  (  0.01 s,   0.0 h)
 iter    11 lrate =  0.0500000000 LL =  -3.4492503663 nd =  0.0207198516, D =   0.69891E-01  0.69891E-01  (  0.01 s,   0.0 h)
 iter    12 lrate =  0.0500000000 LL =  -3.4484912613 nd =  0.0189359840, D =   0.80152E-01  0.80152E-01  (  0.02 s,   0.0 h)
 iter    13 lrate =  0.0500000000 LL =  -3.4478657704 nd =  0.0171470879, D =   0.89285E-01  0.89285E-01  (  0.02 s,   0.0 h)
 iter    14 lrate =  0.0500000000 LL =  -3.4473563918 nd =  0.0154992840, D =   0.97025E-01  0.97025E-01  (  0.02 s,   0.0 h)
 iter    15 lrate =  0.0500000000 LL =  -3.4469375610 nd =  0.0141383311, D =   0.10326E+00  0.10326E+00  (  0.01 s,   0.0 h)
 iter    16 lrate =  0.0500000000 LL =  -3.4465869404 nd =  0.0130358825, D =   0.10808E+00  0.10808E+00  (  0.02 s,   0.0 h)
 iter    17 lrate =  0.0500000000 LL =  -3.4462859705 nd =  0.0121771193, D =   0.11162E+00  0.11162E+00  (  0.02 s,   0.0 h)
 iter    18 lrate =  0.0500000000 LL =  -3.4460227194 nd =  0.0115270674, D =   0.11402E+00  0.11402E+00  (  0.01 s,   0.0 h)
 iter    19 lrate =  0.0500000000 LL =  -3.4457869738 nd =  0.0110422246, D =   0.11547E+00  0.11547E+00  (  0.02 s,   0.0 h)
 iter    20 lrate =  0.0500000000 LL =  -3.4455692353 nd =  0.0106847142, D =   0.11613E+00  0.11613E+00  (  0.01 s,   0.0 h)
 iter    21 lrate =  0.0500000000 LL =  -3.4453657492 nd =  0.0104125793, D =   0.11617E+00  0.11617E+00  (  0.12 s,   0.1 h)
 iter    22 lrate =  0.0500000000 LL =  -3.4451730185 nd =  0.0102012949, D =   0.11572E+00  0.11572E+00  (  0.01 s,   0.0 h)
 iter    23 lrate =  0.0500000000 LL =  -3.4449885503 nd =  0.0100306462, D =   0.11490E+00  0.11490E+00  (  0.03 s,   0.0 h)
 iter    24 lrate =  0.0500000000 LL =  -3.4448119473 nd =  0.0098888137, D =   0.11380E+00  0.11380E+00  (  0.03 s,   0.0 h)
 iter    25 lrate =  0.0500000000 LL =  -3.4446406772 nd =  0.0097690563, D =   0.11249E+00  0.11249E+00  (  0.03 s,   0.0 h)
 iter    26 lrate =  0.0500000000 LL =  -3.4444756463 nd =  0.0096636832, D =   0.11102E+00  0.11102E+00  (  0.03 s,   0.0 h)
 iter    27 lrate =  0.0500000000 LL =  -3.4443122292 nd =  0.0095688588, D =   0.10945E+00  0.10945E+00  (  0.02 s,   0.0 h)
 iter    28 lrate =  0.0500000000 LL =  -3.4441530299 nd =  0.0094804307, D =   0.10781E+00  0.10781E+00  (  0.01 s,   0.0 h)
 iter    29 lrate =  0.0500000000 LL =  -3.4439971749 nd =  0.0093984511, D =   0.10612E+00  0.10612E+00  (  0.01 s,   0.0 h)
 iter    30 lrate =  0.0500000000 LL =  -3.4438440691 nd =  0.0093239323, D =   0.10440E+00  0.10440E+00  (  0.03 s,   0.0 h)
 iter    31 lrate =  0.0500000000 LL =  -3.4436940912 nd =  0.0092544509, D =   0.10268E+00  0.10268E+00  (  0.03 s,   0.0 h)
 iter    32 lrate =  0.0500000000 LL =  -3.4435475927 nd =  0.0091895187, D =   0.10096E+00  0.10096E+00  (  0.03 s,   0.0 h)
 iter    33 lrate =  0.0500000000 LL =  -3.4434026144 nd =  0.0091322876, D =   0.99244E-01  0.99244E-01  (  0.03 s,   0.0 h)
 iter    34 lrate =  0.0500000000 LL =  -3.4432598708 nd =  0.0090764478, D =   0.97550E-01  0.97550E-01  (  0.02 s,   0.0 h)
 iter    35 lrate =  0.0500000000 LL =  -3.4431184694 nd =  0.0090220437, D =   0.95881E-01  0.95881E-01  (  0.01 s,   0.0 h)
 iter    36 lrate =  0.0500000000 LL =  -3.4429792481 nd =  0.0089750166, D =   0.94236E-01  0.94236E-01  (  0.01 s,   0.0 h)
 iter    37 lrate =  0.0500000000 LL =  -3.4428413648 nd =  0.0089283763, D =   0.92622E-01  0.92622E-01  (  0.02 s,   0.0 h)
 iter    38 lrate =  0.0500000000 LL =  -3.4427053787 nd =  0.0088850219, D =   0.91037E-01  0.91037E-01  (  0.02 s,   0.0 h)
 iter    39 lrate =  0.0500000000 LL =  -3.4425702816 nd =  0.0088407057, D =   0.89484E-01  0.89484E-01  (  0.02 s,   0.0 h)
 iter    40 lrate =  0.0500000000 LL =  -3.4424369655 nd =  0.0087981543, D =   0.87960E-01  0.87960E-01  (  0.02 s,   0.0 h)
