Fitting AMICA model
Starting AMICA fitting...
Starting optimization...
Final LL: 1.514409e+06, Gradient norm: 4.950805e-10
Converged due to small gradient norm
Optimization finished after 73 iterations
Results saved to pyAMICA/sample_data/pyresults
18035 nd = 901.0117357062, D = -2.80007e+02 -2.80007e+02  ( 2.29 s,  0.4 h)
 iter     4 lrate = 0.0500000000 LL = 1429185.8366917700 nd = 882.5131338624, D = 7.82524e+02 7.82524e+02  ( 3.00 s,  0.4 h)
 iter     5 lrate = 0.0500000000 LL = 1431281.4057004189 nd = 874.6022400579, D = 2.09557e+03 2.09557e+03  ( 3.69 s,  0.4 h)
 iter     6 lrate = 0.0500000000 LL = 1434912.1869558915 nd = 874.3266495441, D = 3.63078e+03 3.63078e+03  ( 4.39 s,  0.4 h)
 iter     7 lrate = 0.0500000000 LL = 1440283.8153358309 nd = 883.2633406769, D = 5.37163e+03 5.37163e+03  ( 5.15 s,  0.4 h)
 iter     8 lrate = 0.0500000000 LL = 1447346.9529644630 nd = 898.1811686063, D = 7.06314e+03 7.06314e+03  ( 5.83 s,  0.4 h)
 iter     9 lrate = 0.0500000000 LL = 1455831.1812544269 nd = 915.0574188981, D = 8.48423e+03 8.48423e+03  ( 6.55 s,  0.4 h)
 iter    10 lrate = 0.0500000000 LL = 1465246.2885700967 nd = 929.4142363190, D = 9.41511e+03 9.41511e+03  ( 7.21 s,  0.4 h)
 iter    11 lrate = 0.0500000000 LL = 1474879.3783089519 nd = 933.4386107446, D = 9.63309e+03 9.63309e+03  ( 7.83 s,  0.4 h)
 iter    12 lrate = 0.0500000000 LL = 1484071.6923012096 nd = 926.0618315150, D = 9.19231e+03 9.19231e+03  ( 8.37 s,  0.4 h)
 iter    13 lrate = 0.0500000000 LL = 1492313.2711225592 nd = 910.0874373900, D = 8.24158e+03 8.24158e+03  ( 8.89 s,  0.4 h)
 iter    14 lrate = 0.0500000000 LL = 1499156.8374775425 nd = 884.8655768394, D = 6.84357e+03 6.84357e+03  ( 9.44 s,  0.4 h)
 iter    15 lrate = 0.0500000000 LL = 1504423.1846246596 nd = 850.9396981963, D = 5.26635e+03 5.26635e+03  ( 9.98 s,  0.4 h)
 iter    16 lrate = 0.0500000000 LL = 1508191.2378642338 nd = 809.8736105519, D = 3.76805e+03 3.76805e+03  (10.53 s,  0.4 h)
 iter    17 lrate = 0.0500000000 LL = 1510712.1693918612 nd = 763.8032340630, D = 2.52093e+03 2.52093e+03  (11.02 s,  0.4 h)
 iter    18 lrate = 0.0500000000 LL = 1512300.3118338736 nd = 714.9580014519, D = 1.58814e+03 1.58814e+03  (11.57 s,  0.4 h)
 iter    19 lrate = 0.0500000000 LL = 1513249.5969266398 nd = 665.2820534356, D = 9.49285e+02 9.49285e+02  (11.90 s,  0.3 h)
 iter    20 lrate = 0.0500000000 LL = 1513792.2622460895 nd = 616.2607604120, D = 5.42665e+02 5.42665e+02  (12.57 s,  0.3 h)
 iter    21 lrate = 0.0500000000 LL = 1514090.8779850274 nd = 568.9087669092, D = 2.98616e+02 2.98616e+02  (13.12 s,  0.3 h)
 iter    22 lrate = 0.0500000000 LL = 1514249.5948767825 nd = 523.8433897488, D = 1.58717e+02 1.58717e+02  (13.74 s,  0.3 h)
 iter    23 lrate = 0.0500000000 LL = 1514331.1831610261 nd = 481.3879514085, D = 8.15883e+01 8.15883e+01  (14.43 s,  0.3 h)
